iter	Logloss
0	0.6738603191
1	0.65727561
2	0.6427572439
3	0.6249731113
4	0.6120709277
5	0.6008007595
6	0.5884273304
7	0.5773897262
8	0.5685056775
9	0.5575645768
10	0.5498357459
11	0.5426860005
12	0.5365006148
13	0.529770791
14	0.5233979188
15	0.517624485
16	0.5121394011
17	0.5072208269
18	0.5012448132
19	0.496809762
20	0.4921155571
21	0.4874021032
22	0.4842816728
23	0.4806374102
24	0.4763649636
25	0.4718269294
26	0.4683813791
27	0.4629514748
28	0.4609080158
29	0.4584005716
30	0.4558377816
31	0.4528859206
32	0.4505018506
33	0.4490016619
34	0.4473561571
35	0.4453225639
36	0.4417045918
37	0.4403357813
38	0.4373219631
39	0.4357726758
40	0.4336444528
41	0.4320926037
42	0.4296975387
43	0.428296233
44	0.4252286787
45	0.4224288094
46	0.4210718266
47	0.4193501896
48	0.4144884466
49	0.4118730988
50	0.4101048597
51	0.4085728839
52	0.4069919594
53	0.4056452873
54	0.4017974286
55	0.4001839878
56	0.3984487706
57	0.3967598485
58	0.3956540259
59	0.3944038942
60	0.3935186752
61	0.3920356735
62	0.3905162994
63	0.3895155839
64	0.3886298576
65	0.3873951054
66	0.3863441042
67	0.3840737316
68	0.3830534037
69	0.3817098366
70	0.3803346982
71	0.3782556585
72	0.3777288002
73	0.3769933069
74	0.3750254646
75	0.3744483656
76	0.3734879147
77	0.371851728
78	0.37026089
79	0.369008264
80	0.3684548529
81	0.3670720985
82	0.3664298613
83	0.3657403474
84	0.3642897392
85	0.3635799794
86	0.3624851458
87	0.3612041931
88	0.3603945868
89	0.3599467324
90	0.359503593
91	0.3582960618
92	0.3579045345
93	0.357533233
94	0.3569097245
95	0.3559626296
96	0.3550117138
97	0.3542205077
98	0.3538830697
99	0.3522156961
100	0.3512626876
101	0.3503850452
102	0.3500128536
103	0.3494878399
104	0.3487349768
105	0.3476901961
106	0.3469818989
107	0.3462589776
108	0.3458812869
109	0.345145127
110	0.3435269657
111	0.3427781705
112	0.3416726327
113	0.3413707676
114	0.3409031164
115	0.3400271058
116	0.3394899755
117	0.339083253
118	0.3383701924
119	0.3380771499
120	0.3360615523
121	0.3354360171
122	0.3351937116
123	0.3342216693
124	0.3339963443
125	0.3327546617
126	0.3325415938
127	0.3322693993
128	0.331806028
129	0.3315503866
130	0.3313241399
131	0.3302710007
132	0.3299173732
133	0.3292119374
134	0.3287348335
135	0.3284535477
136	0.327437863
137	0.3272177599
138	0.3268828196
139	0.3256359459
140	0.3249686469
141	0.3247547493
142	0.3246005235
143	0.3244251671
144	0.3242323461
145	0.3237732228
146	0.3235544637
147	0.3232968283
148	0.3229728194
149	0.3227911969
150	0.3225879783
151	0.3220516061
152	0.321885845
153	0.3215500717
154	0.3213313463
155	0.3212002245
156	0.3210366732
157	0.320835122
158	0.3205116607
159	0.3200758386
160	0.3197445402
161	0.3195784526
162	0.3187178285
163	0.3181733904
164	0.3168091798
165	0.3166624491
166	0.3165232796
167	0.3163290096
168	0.3161059377
169	0.3159438257
170	0.3157737925
171	0.3155552287
172	0.3153765993
173	0.3152433235
174	0.3151103849
175	0.314972731
176	0.3142111112
177	0.3140079815
178	0.3138172838
179	0.3135813153
180	0.3134154813
181	0.3129037887
182	0.3127846131
183	0.3126305177
184	0.3121985359
185	0.3119656326
186	0.3117252529
187	0.3115952794
188	0.3110285538
189	0.3106405585
190	0.3105254534
191	0.3103332553
192	0.3102332629
193	0.3097460955
194	0.3092603133
195	0.3091152841
196	0.3087843668
197	0.3085884895
198	0.3084527623
199	0.3080065263
200	0.3078265143
201	0.3072215168
202	0.3071120139
203	0.3068776271
204	0.3061864824
205	0.3060731576
206	0.3053735695
207	0.3051225275
208	0.3049187051
209	0.3047991623
210	0.3046405541
211	0.3045394586
212	0.3044357221
213	0.3041236235
214	0.3036556556
215	0.3033364767
216	0.3031714923
217	0.3030650637
218	0.302961651
219	0.302719279
220	0.3022926408
221	0.3020077948
222	0.3019177734
223	0.3017474642
224	0.3016122361
225	0.3014309725
226	0.3012944416
227	0.3008127701
228	0.3007060858
229	0.3006157288
230	0.300523533
231	0.300298507
232	0.3001553087
233	0.2995728663
234	0.2991913075
235	0.2988461616
236	0.298741315
237	0.2986461596
238	0.2985329868
239	0.2982316614
240	0.2978670135
241	0.2977653912
242	0.2974013416
243	0.2969830072
244	0.2966933947
245	0.29657116
246	0.296174045
247	0.2958986907
248	0.2957642674
249	0.2956163156
250	0.2954633764
251	0.2953841941
252	0.2952478569
253	0.2951361395
254	0.2949879154
255	0.2948357927
256	0.2947459299
257	0.2945716933
258	0.2944415585
259	0.2943016244
260	0.294115334
261	0.2933400652
262	0.2931771354
263	0.2930050837
264	0.2927956219
265	0.2926656681
266	0.2923158898
267	0.2919134269
268	0.2917736492
269	0.2915825208
270	0.2914355763
271	0.2912745647
272	0.2906575769
273	0.29055778
274	0.2902025326
275	0.2900695953
276	0.2899431915
277	0.2898681596
278	0.2893347458
279	0.2892407533
280	0.2891487288
281	0.2890202404
282	0.2887327382
283	0.2879345082
284	0.2878407403
285	0.2877035023
286	0.2876038259
287	0.2874991751
288	0.2873020009
289	0.2871836693
290	0.2870378586
291	0.2868799859
292	0.2862807107
293	0.2861462196
294	0.2860629515
295	0.2859197008
296	0.285777133
297	0.2856277152
298	0.2855341401
299	0.2854107483
300	0.2852605324
301	0.2849161569
302	0.2848378112
303	0.2847596604
304	0.2844559187
305	0.2843139986
306	0.2841766446
307	0.284040263
308	0.2839043638
309	0.2837589087
310	0.2836146585
311	0.2835159019
312	0.2833992303
313	0.283288033
314	0.2831191759
315	0.2830039138
316	0.2829240753
317	0.2828275559
318	0.2823932319
319	0.2822720485
320	0.2818585453
321	0.2817964762
322	0.2817013937
323	0.2813312472
324	0.2811344616
325	0.2810388496
326	0.2809418399
327	0.2806633062
328	0.2805895168
329	0.2804078187
330	0.2803237615
331	0.280000763
332	0.2798629705
333	0.2795609086
334	0.2793250742
335	0.27925804
336	0.2791525519
337	0.2790112474
338	0.2789180868
339	0.2787973303
340	0.2787118202
341	0.2786193006
342	0.2785252898
343	0.27839248
344	0.2782659451
345	0.2779212993
346	0.277787612
347	0.2777132272
348	0.2774900146
349	0.2774030954
350	0.2772898728
351	0.2769755414
352	0.2768622504
353	0.2767341123
354	0.2766472613
355	0.2765790694
356	0.276444733
357	0.2763513492
358	0.2762646668
359	0.2761645144
360	0.2760562034
361	0.2759591394
362	0.2755938334
363	0.2753799447
364	0.2751494167
365	0.2750269415
366	0.2749109329
367	0.2748185651
368	0.2747331082
369	0.2746425914
370	0.2745511338
371	0.2744661562
372	0.274366594
373	0.2742834513
374	0.2742235354
375	0.2741420168
376	0.2740096514
377	0.2738171155
378	0.2737271677
379	0.2736685786
380	0.2735875224
381	0.2735091312
382	0.2734079574
383	0.2733095245
384	0.2732040911
385	0.2731036249
386	0.2728769843
387	0.2727651858
388	0.2726394737
389	0.2725454425
390	0.2724101874
391	0.2723015628
392	0.2722180316
393	0.2721270632
394	0.2719688615
395	0.2718673132
396	0.2718006875
397	0.2717421518
398	0.2715220741
399	0.2714520582
400	0.2712433245
401	0.2711470036
402	0.2710497843
403	0.2708249361
404	0.2705209368
405	0.270426594
406	0.270318805
407	0.2702404993
408	0.2701467209
409	0.270057539
410	0.2699685852
411	0.2698894393
412	0.2698035967
413	0.2697246777
414	0.2696348701
415	0.2694145237
416	0.2693411059
417	0.2692715171
418	0.2690587994
419	0.2689749477
420	0.2689243187
421	0.2688248253
422	0.2687314524
423	0.268662651
424	0.2685949465
425	0.2685369936
426	0.268464409
427	0.2683781936
428	0.2683071252
429	0.2682047205
430	0.2680337982
431	0.2679602434
432	0.2678844163
433	0.2677929301
434	0.2677111912
435	0.2675254855
436	0.2674575787
437	0.2673860574
438	0.2670336366
439	0.2669343103
440	0.2668355234
441	0.266735644
442	0.266650066
443	0.2665571902
444	0.2664721234
445	0.2663820434
446	0.2662805438
447	0.2661995033
448	0.2661031511
449	0.2660388008
450	0.2659661664
451	0.2659118739
452	0.2658577495
453	0.2657919114
454	0.2657150239
455	0.2656337028
456	0.2655430242
457	0.2654675686
458	0.2654043929
459	0.2652144057
460	0.2651332008
461	0.2650487629
462	0.264955614
463	0.2648721143
464	0.2643985656
465	0.264304858
466	0.2639885842
467	0.2638890142
468	0.2637976632
469	0.2637058566
470	0.2636199663
471	0.2635635235
472	0.2635113716
473	0.2634347163
474	0.2633635399
475	0.2633081724
476	0.2632420247
477	0.2631541142
478	0.2630605658
479	0.262987022
480	0.2629240493
481	0.2628378923
482	0.2627712192
483	0.262686615
484	0.2626120548
485	0.2625360439
486	0.2624612652
487	0.2623626554
488	0.2622852073
489	0.2622132277
490	0.2621506111
491	0.2620820134
492	0.2620226941
493	0.2618451468
494	0.2617620233
495	0.2615843491
496	0.2614990147
497	0.2614273606
498	0.2612882407
499	0.2612206749
